eOthello_game_id,winner,game_moves
398342,-1,f5d6c3d3c4f4c5b3c2e6b5f3g4g3f2e3f6f1d2e2e1c1b4d1d7a6b6e7a3g6c7h3g5h4f8a4f7e8d8a5a7c6g1h1g7b7b2h7h8g8h5h6a8a1h2g2b8c8b1a2
410073,1,f5d6c4d3e6f4e3f3g4g3d2c5f2c1e2f6d1e1c7b3c3b4c6h4f1g1b2d7c2g5a3b6h3h2g6d8h6h5h1g2b1a1a2a4a5a6b5g7a7a8b7c8h8f7g8e7h7f8b8e8
395162,-1,d3c5f6e3d6e6f5c6d7c3f2e7b6c7d8f3e2f1b3c4e1f4d2d1g5a3b2g4c2b4h4a1b5a6a2f8g3b8c8e8b7b1c1g6g2h5a5a4f7g8h6h1g1h2h3h7g7h8a7a8
389417,1,f5d6c5f4e3c6f3g6g5d3c4c3d2d1b3e2c1c2e1a3b4b5a6b6b1f2f1e6a4a5a2h5a7g2g3g4d7c8e7c7f6b7e8f8a8d8b8f7g7g8h8h7h6b2h1g1a1h2h3h4
389518,1,f5d6c3d3c4f4e6b3e2c5c7e3d2f6f3c2g3g4b6f1e1c1d1f2h5h4b4h6g6e7g5h7h2b5c6f7e8b2g2d7d8g7h3f8h8g8a6b7a3a2b8c8a1b1a4a8a5h1g1a7
387028,1,f5d6c5f4e3c3e6d2c6f6g5h4e2f2c4b5g6b3f3g3b6d3a5d7b4g4h5f7c7c8e7e8h3a6c2d1a3h7h2b2a4g7a7h6h8g2g1f1h1b7g8f8a1a2a8b8d8b1c1e1
360877,0,f5f6e6f4e3c5g5g3g4f3e2h6c4d6h5h4e7f2g6f7d3c6d2h3d7b3b4c8d8c3b6e8b5c7f1c2a3b2f8g8a1a2b7e1d1c1h7h8g7a8b1a6g1g2a5a7b8a4h1h2
385095,1,f5d6c3d3c4f4f6f3e6e7f7c5b6g6e3e2g5c6d8h6g4g3c7c2d2d1c1b5b3d7b4f8h5h4c8b1f1f2h2a5a3e8a6a7g8h3h7b7e1g1g7a4b8h8a8b2a2a1g2h1
374885,1,f5d6c4d3e6f4e3f3g4g3d2c3f2g6e2c2c5d1f6f1h3b5c6h5h6e7d7g5b4f7e8c8h4a5a3b3f8b6e1g1h7g7a6g2a4c7a2a7a8b2a1b1c1g8h8b7d8b8h1h2
375918,1,f5f6e6f4e3c5g5g3g4f3e2h6c4e7f7d3c2f8h5h4g6c6d6d7b5c7b6b4c3a6a5d2f2e1d1f1b3a4a3a2g1h7e8d8g7c1b1h8c8b8h3g2h1h2g8a8a7b7a1b2
375311,-1,f5d6c3f4f6d3c6g6e6c5c4f7g5d7c7e7e8h6g3e3d2c8f2g4f3e2h4h5f1h3f8b8d8g8g7b6b4b5a5a3b3a2a6c1d1c2g2h8b7h7a4a7a8b2a1b1g1h1h2e1
378298,1,f5f6e6f4e3c5c4d6b5d3c3e2d7c7e7c6f7c8d8f8b8b6b4e8g8a3a4a5f1g7h8g5f2b3g4c2b7f3a6d2c1h3d1b2a1a8a7g6h7h6h4h5h2g3g2h1g1e1a2b1
